conversation_id,root_tweet_id,customer_id,preliminary_intent,customer_initial_query,clean_customer_query,agent_first_reply,clean_agent_reply,num_turns,has_link_or_dm
conv_2613,2613,116332,general_inquiry_other,"Cupertino, we have a problem. .@115858 .@116333 .@AppleSupport .@190 https://t.co/ImMcJ8QsTM","Cupertino, we have a problem. .@115858 .@116333 .@AppleSupport .@190",@116332 We'd like to see what we can do to assist. What version of iOS are you currently running? We released iOS 11.1 today.,We'd like to see what we can do to assist. What version of iOS are you currently running? We released iOS 11.1 today.,5,False
conv_2620,2620,116335,general_inquiry_other,@AppleSupport watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,@116335 You should still be able to control Music on your iPhone from the watch. Check out the user guide here: https://t.co/vRQnmrhVHj,You should still be able to control Music on your iPhone from the watch. Check out the user guide here:,4,True
conv_2632,2632,116338,general_inquiry_other,And why is my music NEVER in my control center?! @AppleSupport,And why is my music NEVER in my control center?! @AppleSupport,@116338 We're here to help out! Which device is this on and which version of iOS is currently installed?,We're here to help out! Which device is this on and which version of iOS is currently installed?,4,False
conv_2648,2648,116343,general_inquiry_other,@AppleSupport do you have any apps for epilepsy so I can detect my seizures thanks in advance,do you have any apps for epilepsy so I can detect my seizures thanks in advance,"@116343 Hey, we can provide some guidance. Let's meet in DM and we'll go from there. https://t.co/GDrqU22YpT","Hey, we can provide some guidance. Let's meet in DM and we'll go from there.",2,True
conv_2656,2656,116345,general_inquiry_other,My iPhone has erased and re-added emails dating back from 2013 til now twice in the past 24 hours. Wth??? @AppleSupport,My iPhone has erased and re-added emails dating back from 2013 til now twice in the past 24 hours. Wth??? @AppleSupport,"@116345 We'll be happy to look into this with you. To clarify, which iPhone model do you have and what's the exact iOS version?","We'll be happy to look into this with you. To clarify, which iPhone model do you have and what's the exact iOS version?",6,False
conv_2662,2662,116347,general_inquiry_other,So why is this happening I️ I️ I️ @AppleSupport,So why is this happening I️ I️ I️ @AppleSupport,@116347 We'd be glad to see what we can do for you. Let's meet up in DM first. Thanks! https://t.co/GDrqU22YpT,We'd be glad to see what we can do for you. Let's meet up in DM first. Thanks!,2,True
conv_2666,2666,116348,general_inquiry_other,I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport,I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport,@116348 We'd like to look into this with you. Does the song appear to be greyed out?,We'd like to look into this with you. Does the song appear to be greyed out?,4,False
conv_2676,2676,116349,general_inquiry_other,@AppleSupport HELP ME. I have a problem with my iPhone 7😑,HELP ME. I have a problem with my iPhone 7😑,@116349 We're happy to help. What seems to be the problem?,We're happy to help. What seems to be the problem?,8,False
conv_3761,3761,116620,general_inquiry_other,Listen I’m having issues with my phone so like can you @ me so we can talk @AppleSupport,Listen I’m having issues with my phone so like can you @ me so we can talk @AppleSupport,@116620 We're here to help. Send us a DM with the issue and we'll follow up from there. https://t.co/GDrqU22YpT,We're here to help. Send us a DM with the issue and we'll follow up from there.,2,True
conv_3777,3777,116625,general_inquiry_other,"@AppleSupport I've also forced the app to close from the background and reopened, no dice 🎲","I've also forced the app to close from the background and reopened, no dice 🎲",@116625 Let’s team up on this. How long has this been happening? What version number of iOS are you running? Which iPhone do you have?,Let’s team up on this. How long has this been happening? What version number of iOS are you running? Which iPhone do you have?,4,False
conv_4875,4875,116854,general_inquiry_other,Come on @AppleSupport #ios11.1  Same bug as before. Numbers disappear when entering info. Video below. #iosproblems https://t.co/eKirAn2Mam,Come on @AppleSupport #ios11.1 Same bug as before. Numbers disappear when entering info. Video below. #iosproblems,@116854 Let's investigate this together. Does this only occur when using specific apps or website?,Let's investigate this together. Does this only occur when using specific apps or website?,3,False
conv_4882,4882,116856,general_inquiry_other,@AppleSupport tell me why I️’I’ve updated my phone twice and I️ can’t type letter I️ without getting a letter A and a question mark,tell me why I️’I’ve updated my phone twice and I️ can’t type letter I️ without getting a letter A and a question mark,@116856 We're here for you. What is the exact version of the iOS you're running? Check by tapping Settings > General > About.,We're here for you. What is the exact version of the iOS you're running? Check by tapping Settings > General > About.,7,False
conv_4896,4896,116859,general_inquiry_other,@AppleSupport please make this stop!!! https://t.co/YoyrO8iZKe,please make this stop!!!,"@116859 Let’s work together on this behavior. How long has this been happening? Also, which device are you using?","Let’s work together on this behavior. How long has this been happening? Also, which device are you using?",5,False
conv_4909,4909,116862,general_inquiry_other,"コレは本当に困る、ゲームも出来なくなったしアップデートしなきゃ良かった´д` ;
@AppleSupport @115858 → 「バッテリーの減りが激しい」という問題に関しても同様）。 https://t.co/bGQly6cE2O",コレは本当に困る、ゲームも出来なくなったしアップデートしなきゃ良かった´д` ; @AppleSupport @115858 → 「バッテリーの減りが激しい」という問題に関しても同様）。,@116862 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj.,We offer support via Twitter in English. Contact us for help in your preferred language here:,2,True
conv_5812,5812,117097,general_inquiry_other,@AppleSupport just updated my 7 plus to 11.1 but I can’t see the new emojis on my watch. Pls help.,just updated my 7 plus to 11.1 but I can’t see the new emojis on my watch. Pls help.,@117097 Got it. Have you updated your Apple Watch to 4.1 yet?,Got it. Have you updated your Apple Watch to 4.1 yet?,4,False
conv_5816,5816,117098,general_inquiry_other,I️ <— wtf is going on @AppleSupport,I️ <— wtf is going on @AppleSupport,@117098 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started.,4,True
conv_5825,5825,117102,general_inquiry_other,"@AppleSupport excuse me, can someone explain to me why when I type an “I️” alone I️ get an A and a question mark???????","excuse me, can someone explain to me why when I type an “I️” alone I️ get an A and a question mark???????",@117102 We'll be happy to take a look into it with you. Please send us a DM with what version of iOS you have. https://t.co/GDrqU22YpT,We'll be happy to take a look into it with you. Please send us a DM with what version of iOS you have.,2,True
conv_5833,5833,117104,general_inquiry_other,"sa fait 1h j’ai ios11.1 et mon tel redemarre seul, explication @AppleSupport ?????","sa fait 1h j’ai ios11.1 et mon tel redemarre seul, explication @AppleSupport ?????",@117104 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,We offer support via Twitter in English. Contact us for help in your preferred language here:,4,True
conv_5845,5845,117107,general_inquiry_other,@AppleSupport Updated iPad Pro to 11.1.  Worked on draft email. None of changes saved. Started new email. Saved but disappeared. Help please,Updated iPad Pro to 11.1. Worked on draft email. None of changes saved. Started new email. Saved but disappeared. Help please,@117107 We'll help in any way we can. Was this on an https://t.co/coj9FJKJWV email account?,We'll help in any way we can. Was this on an email account?,4,True
conv_5853,5853,117109,general_inquiry_other,@319 why is my “it “ autocorrecting to I.T?? So annoying! Can’t change in settings either...@AppleSupport,why is my “it “ autocorrecting to I.T?? So annoying! Can’t change in settings either...@AppleSupport,@117109 We'd love to help. Let's work together in DM. https://t.co/GDrqU22YpT,We'd love to help. Let's work together in DM.,2,True
conv_6608,6608,117165,general_inquiry_other,@AppleSupport the fact that my laptop that I haven't even had for two years keeps shutting off without warning at 15% is kind of ridiculous.,the fact that my laptop that I haven't even had for two years keeps shutting off without warning at 15% is kind of ridiculous.,@117165 Let's see what we can find for you today. Let's meet up in DM to gather some specifics and we'll proceed from there. https://t.co/GDrqU22YpT,Let's see what we can find for you today. Let's meet up in DM to gather some specifics and we'll proceed from there.,2,True
conv_8321,8321,117460,general_inquiry_other,I️ can’t believe that @115858 & @AppleSupport has not fixed the vowel text issue. It’s very annoying and takes extra time to write something👎,I️ can’t believe that @115858 & @AppleSupport has not fixed the vowel text issue. It’s very annoying and takes extra time to write something👎,@117460 We'd like to look into the trouble you're having. Does this only occur in the Facebook app?,We'd like to look into the trouble you're having. Does this only occur in the Facebook app?,8,False
conv_8574,8574,117508,general_inquiry_other,@AppleSupport this is the second Fishing email that I have gotten in 2 days https://t.co/WG3DvyKLSj,this is the second Fishing email that I have gotten in 2 days,@117508 We are here to help. Please refer to the following article for steps to report these emails: https://t.co/yGvlh3cZ5Y,We are here to help. Please refer to the following article for steps to report these emails:,4,True
conv_9170,9170,117645,general_inquiry_other,11.1にあげたらTwitter少し見てるだけだし低電力モードなのに20パーへったぞ。デバイス本体ごと取り換えて数ヶ月だし今回のアプデはミスだな。バッテリー消費悪化してる。 @AppleSupport,11.1にあげたらTwitter少し見てるだけだし低電力モードなのに20パーへったぞ。デバイス本体ごと取り換えて数ヶ月だし今回のアプデはミスだな。バッテリー消費悪化してる。 @AppleSupport,@117645 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,We offer support via Twitter in English. Contact us for help in your preferred language here:,4,True
conv_9187,9187,117650,general_inquiry_other,@AppleSupport hey apple ! What is going on with the iPhones ?? Every time I️ type the letter “I️” I️ get a symbol. Which you see right now!,hey apple ! What is going on with the iPhones ?? Every time I️ type the letter “I️” I️ get a symbol. Which you see right now!,@117650 Let's team up and get the exclamation point working right. Which model do you have? Is iOS 11.1 installed?,Let's team up and get the exclamation point working right. Which model do you have? Is iOS 11.1 installed?,6,False
conv_9193,9193,117652,general_inquiry_other,Ayo @AppleSupport fix this whole question mark box ting dem shits annoying.,Ayo @AppleSupport fix this whole question mark box ting dem shits annoying.,"@117652 Hi, can you tell us more about this in a DM? We'll look into this together from there. https://t.co/GDrqU22YpT","Hi, can you tell us more about this in a DM? We'll look into this together from there.",2,True
conv_9304,9304,117655,general_inquiry_other,@AppleSupport why are my I ‘s changing into I️ ?!!!!!,why are my I ‘s changing into I️ ?!!!!!,@117655 Interesting. Let's look into this. Which iOS version is showing in Settings > General > About?,Interesting. Let's look into this. Which iOS version is showing in Settings > General > About?,2,False
conv_9831,9831,117806,general_inquiry_other,@applesupport please help us lmao https://t.co/EngGZoVACe,please help us lmao,@117806 Your keyboard is important and we'd like to help get it working right. When did this start and which device model is it?,Your keyboard is important and we'd like to help get it working right. When did this start and which device model is it?,5,False
conv_9835,9835,117807,general_inquiry_other,Dear @AppleSupport why is my letter I️ not working by itself in email or text? When I️ type the letter “I️” the attached happens. https://t.co/2qZ7Tjx5cF,Dear @AppleSupport why is my letter I️ not working by itself in email or text? When I️ type the letter “I️” the attached happens.,@117807 We're here to help. Which version of iOS do you have installed on your device? You'd see this in Settings > General > About.,We're here to help. Which version of iOS do you have installed on your device? You'd see this in Settings > General > About.,4,False
conv_10677,10677,117961,general_inquiry_other,"@applesupport just updated Apple Watch to 4.1. Is ESPN radio etc only available in USA, can’t get it on my watch in the UK","just updated Apple Watch to 4.1. Is ESPN radio etc only available in USA, can’t get it on my watch in the UK",@117961 We want to help you. That station may not be available. Availability of live stations varies depending on your location.,We want to help you. That station may not be available. Availability of live stations varies depending on your location.,3,False
conv_10683,10683,117964,general_inquiry_other,@AppleSupport Baje la App de @701 la cual es gratuita y me llego un cargo de $18.11 Pesos ¿cuál es el motivo?,Baje la App de @701 la cual es gratuita y me llego un cargo de $18.11 Pesos ¿cuál es el motivo?,@117964 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,We offer support via Twitter in English. Get help in Spanish here: or join,2,True
conv_10694,10694,117968,general_inquiry_other,@AppleSupport why do I not have my October challenge ring after competition? 😡😡,why do I not have my October challenge ring after competition? 😡😡,"@117968 If you complete an achievement, but don't earn the award, you will earn the award within 9 days of completing the challenge.","If you complete an achievement, but don't earn the award, you will earn the award within 9 days of completing the challenge.",4,False
conv_11118,11118,118099,general_inquiry_other,"@AppleSupport my watch has been saying I’ve been averaging 57 minutes, now today it’s 52, I checked and did the math it’s 57... what the??? https://t.co/kQWakgjXJ5","my watch has been saying I’ve been averaging 57 minutes, now today it’s 52, I checked and did the math it’s 57... what the???",@118099 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance.,2,True
conv_11129,11129,118103,general_inquiry_other,@AppleSupport @20600 lucky I was home and next to this when it randomly started to smoke. Unplugged before disaster!! What the hell? https://t.co/k42Ei9OXuG,lucky I was home and next to this when it randomly started to smoke. Unplugged before disaster!! What the hell?,@118103 We want to look into this with you. DM us and let us know what model of computer you use this cord with. https://t.co/GDrqU22YpT,We want to look into this with you. DM us and let us know what model of computer you use this cord with.,2,True
conv_11633,11633,118243,general_inquiry_other,Since I updated my iPhone I can’t download apps now. Thanks @AppleSupport @115858  🙄🙄🙄,Since I updated my iPhone I can’t download apps now. Thanks @AppleSupport @115858 🙄🙄🙄,@118243 Are you on the latest iOS 11.1 version?,Are you on the latest iOS 11.1 version?,4,False
conv_11645,11645,118244,general_inquiry_other,How do I get rid of this notification? @4305 @19762 @115858 @AppleSupport https://t.co/MF02cJYU5A,How do I get rid of this notification? @4305 @19762 @115858 @AppleSupport,@118244 Let's see how we can help. Is that the message you see when trying to swipe the notification and get to the app?,Let's see how we can help. Is that the message you see when trying to swipe the notification and get to the app?,9,False
conv_11648,11648,118246,general_inquiry_other,Brand New Effect on #iOS11 @AppleSupport Beautiful! Great work! 😂 https://t.co/0INPNlWcvT,Brand New Effect on #iOS11 @AppleSupport Beautiful! Great work! 😂,"@118246 We'd love to look into this with you!  To begin, can you DM us what iOS version you're currently on? https://t.co/GDrqU22YpT","We'd love to look into this with you! To begin, can you DM us what iOS version you're currently on?",3,True
conv_11659,11659,118249,general_inquiry_other,Fix my shit @AppleSupport,Fix my shit @AppleSupport,"@118249 We're always ready to help, but we'll need more details to start. Reply by DM with which model is it and what's happening with it. https://t.co/GDrqU22YpT","We're always ready to help, but we'll need more details to start. Reply by DM with which model is it and what's happening with it.",4,True
conv_11663,11663,118251,general_inquiry_other,@115858 @AppleSupport how will iphone x recognize me with face id if I am wearing my du rag?,how will iphone x recognize me with face id if I am wearing my du rag?,@118251 Great Question! You can read more about changing your appearance with Face ID here: https://t.co/etk4MmVSpa,Great Question! You can read more about changing your appearance with Face ID here:,2,True
conv_11995,11995,118359,general_inquiry_other,@115858 @AppleSupport any suggestions???,any suggestions???,@118359 We'd like to look at service options with you. Let's take a look at this in DM. https://t.co/GDrqU22YpT,We'd like to look at service options with you. Let's take a look at this in DM.,2,True
conv_12000,12000,118360,general_inquiry_other,what’s up with the letter “i” man? pls fix. i’m annoyed. @115858 @AppleSupport,what’s up with the letter “i” man? pls fix. i’m annoyed. @115858 @AppleSupport,@118360 You've come to the right place. May we ask when you started to notice the situation?,You've come to the right place. May we ask when you started to notice the situation?,7,False
conv_12566,12566,118507,general_inquiry_other,@AppleSupport It's a shame that Siri can't be used to turn off the timer. Pain to do it with messy hands. Send to the idea file?,It's a shame that Siri can't be used to turn off the timer. Pain to do it with messy hands. Send to the idea file?,@118507 We value your feedback. Feel free to leave it here: https://t.co/J46COPJzUo,We value your feedback. Feel free to leave it here:,2,True
conv_12572,12572,118509,general_inquiry_other,@AppleSupport is there a way to opt out of iMessage and FaceTime during initial setup on an iPhone?,is there a way to opt out of iMessage and FaceTime during initial setup on an iPhone?,"@118509 We're here for you. There isn't a way to avoid iMessage activation with a number, but you can turn it off: https://t.co/R5zxAawOzV","We're here for you. There isn't a way to avoid iMessage activation with a number, but you can turn it off:",2,True
conv_12581,12581,118511,general_inquiry_other,@AppleSupport why does I️ keep showing up as symbols?,why does I️ keep showing up as symbols?,@118511 We'd like to see what we can do to assist. What iOS version are you running?,We'd like to see what we can do to assist. What iOS version are you running?,4,False
conv_12584,12584,118512,general_inquiry_other,@AppleSupport why is my phone doing this https://t.co/3gBYZHMlYs,why is my phone doing this,@118512 Let's look into this for you. Send us a DM with your iOS version to get started. https://t.co/GDrqU22YpT,Let's look into this for you. Send us a DM with your iOS version to get started.,2,True
conv_12586,12586,118513,general_inquiry_other,"@AppleSupport What do you make of this? (Top left corner) I am a US customer, and I think my phone has been hacked. https://t.co/5JE0SUCx90","What do you make of this? (Top left corner) I am a US customer, and I think my phone has been hacked.",@118513 Let's look into this for you. Send us a DM with your current iOS version to get started. https://t.co/GDrqU22YpT,Let's look into this for you. Send us a DM with your current iOS version to get started.,2,True
conv_12596,12596,118516,general_inquiry_other,"@AppleSupport Seems I have a virus, I’ve been getting these pop-ups: https://t.co/RMppEqEQSq","Seems I have a virus, I’ve been getting these pop-ups:",@118516 Your security is our absolute priority. Visit this link for info on pop up adds in Safari: https://t.co/qr0pQfKgYD,Your security is our absolute priority. Visit this link for info on pop up adds in Safari:,2,True
conv_12599,12599,118517,general_inquiry_other,@115858 @AppleSupport APPLE WHY IS MY “I️’s” coming out as question marked boxes & pounds ?! Fix it jeezus,APPLE WHY IS MY “I️’s” coming out as question marked boxes & pounds ?! Fix it jeezus,@118517 Hi. We are here to help. What version of iOS do you have?,Hi. We are here to help. What version of iOS do you have?,4,False
conv_12605,12605,118519,general_inquiry_other,What’s with the I️ I️ I️ I️ I️ I️? @AppleSupport I️ just want to write an I️ (eye),What’s with the I️ I️ I️ I️ I️ I️? @AppleSupport I️ just want to write an I️ (eye),@118519 Can you confirm what iOS version you are running?,Can you confirm what iOS version you are running?,3,False
conv_12612,12612,118521,general_inquiry_other,@115858 @AppleSupport sooooooo any plans to fix all these bugs from the software updates for the iPhone 7??,sooooooo any plans to fix all these bugs from the software updates for the iPhone 7??,@118521 We're here to help. What iOS version are you on?,We're here to help. What iOS version are you on?,4,False
conv_13211,13211,118717,general_inquiry_other,@AppleSupport what is happening with my phone??? I️ wrote “I️ got” and that happened https://t.co/V9oKSSZKGQ,what is happening with my phone??? I️ wrote “I️ got” and that happened,@118717 We can look into this issue together. Send us a DM and let's begin. https://t.co/GDrqU22YpT,We can look into this issue together. Send us a DM and let's begin.,2,True
conv_13590,13590,118837,general_inquiry_other,Tudo bom ??? Todos estão com o mesmo problema e é sempre com o iPhone 7 o que está acontecendo??? @115858 @AppleSupport https://t.co/pn1UYIjdMo,Tudo bom ??? Todos estão com o mesmo problema e é sempre com o iPhone 7 o que está acontecendo??? @115858 @AppleSupport,"@118837 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt","Since our Twitter support is available in English, get help at or join",6,True
conv_13938,13938,118929,general_inquiry_other,it’s been doing this for two days... cmon @AppleSupport https://t.co/SVOOZiTXli,it’s been doing this for two days... cmon @AppleSupport,"@118929 We're anxious for you to have access to your downloads. Have you had a chance to restart the iPhone? If not, let's do that now.","We're anxious for you to have access to your downloads. Have you had a chance to restart the iPhone? If not, let's do that now.",4,False
conv_13945,13945,118931,general_inquiry_other,Wait why did my letter “I️” change into weird characters?!? @AppleSupport,Wait why did my letter “I️” change into weird characters?!? @AppleSupport,@118931 We'd like to look into this. Does this happen in all apps you use the keyboard with? Which device is this happening on?,We'd like to look into this. Does this happen in all apps you use the keyboard with? Which device is this happening on?,2,False
conv_13951,13951,118933,general_inquiry_other,@AppleSupport HELP EVERYTIME I️ TYPE I️ ONLY SYMBOLS COME UP I️ WANT TO BE ABLE TO TALK ABOUT MYSELF,HELP EVERYTIME I️ TYPE I️ ONLY SYMBOLS COME UP I️ WANT TO BE ABLE TO TALK ABOUT MYSELF,@118933 We know it's important to have your device working correctly. We'd like to help. Let's meet in DM. https://t.co/GDrqU22YpT,We know it's important to have your device working correctly. We'd like to help. Let's meet in DM.,2,True
conv_14334,14334,119055,general_inquiry_other,.@AppleSupport  @115858 WHY DOES THIS KEEP HAPPENING😭 https://t.co/7v4aCGW3lO,.@AppleSupport @115858 WHY DOES THIS KEEP HAPPENING😭,@119055 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,We want to help! DM us and let us know more about the issues you are having.,2,True
conv_14862,14862,119216,general_inquiry_other,@AppleSupport my phone was acting up. I then restarted it and now all it does is stay on the apple logo when I turn it on. Wtf,my phone was acting up. I then restarted it and now all it does is stay on the apple logo when I turn it on. Wtf,@119216 We’ve got your back. Let us know if the steps in this article help with your iPhone: https://t.co/8MvHMFZ83h,We’ve got your back. Let us know if the steps in this article help with your iPhone:,4,True
conv_15308,15308,119359,general_inquiry_other,Yo @AppleSupport why is this happening to everyone I️ know?? Pls fix this issue. Anyone else? 🙄🙄🙄 https://t.co/XSuGhCN8c8,Yo @AppleSupport why is this happening to everyone I️ know?? Pls fix this issue. Anyone else? 🙄🙄🙄,@119359 Let's look at this together. Please DM us. https://t.co/GDrqU22YpT,Let's look at this together. Please DM us.,2,True
conv_15318,15318,119363,general_inquiry_other,@116602 @AppleSupport streaming has always been an issue to appletv. Who gets this one? https://t.co/kVi5FjLvDU,streaming has always been an issue to appletv. Who gets this one?,@119363 We're happy to help. Reach us here for more assistance: https://t.co/IBIY3vMgPj,We're happy to help. Reach us here for more assistance:,3,True
conv_15725,15725,119463,general_inquiry_other,@AppleSupport why my phone doing this????,why my phone doing this????,"@119463 We’d love to help. To start, please send us a DM letting us your iPhone model. https://t.co/GDrqU22YpT","We’d love to help. To start, please send us a DM letting us your iPhone model.",2,True
conv_18888,18888,120222,general_inquiry_other,What should I do ? 🤕 my iPhone's temp feels normal though @AppleSupport https://t.co/vaqLSGj1q7,What should I do ? 🤕 my iPhone's temp feels normal though @AppleSupport,@120222 We can look into what's happening with the flash on your iPhone. How long have you been seeing this? Does a restart help? Which version of iOS are you using? You can check that in Settings > General > About. Let us know in DM and we'll work from there. https://t.co/GDrqU22YpT,We can look into what's happening with the flash on your iPhone. How long have you been seeing this? Does a restart help? Which version of iOS are you using? You can check that in Settings > General > About. Let us know in DM and we'll work from there.,2,True
conv_23091,23091,121029,general_inquiry_other,@115858 @AppleSupport my phone crashed for no reason. What you gonna do about it? I'm stressed and depressed right now. Thanks,my phone crashed for no reason. What you gonna do about it? I'm stressed and depressed right now. Thanks,"@121029 We're happy to help. When you say your iPhone crashed, could you please provide a few more details? Also, which software version are you using?","We're happy to help. When you say your iPhone crashed, could you please provide a few more details? Also, which software version are you using?",4,False
conv_23094,23094,121030,general_inquiry_other,Dear @115948 @AppleSupport what happened to ‘Play Next’?,Dear @115948 @AppleSupport what happened to ‘Play Next’?,"@121030 Thanks for reaching out. We'd like to know more to help. Are you referring to the Podcast app, Music or a different app? Let us know and we'll take it from there.","Thanks for reaching out. We'd like to know more to help. Are you referring to the Podcast app, Music or a different app? Let us know and we'll take it from there.",6,False
conv_23137,23137,121039,general_inquiry_other,come on @115858 you guys removed the option to leave a group conversation! ugh!! 🤦🏽‍♀️ please bring that option back ASAP  @AppleSupport  #ios1112 #iphoneX #overit,come on @115858 you guys removed the option to leave a group conversation! ugh!! 🤦🏽‍♀️ please bring that option back ASAP @AppleSupport #ios1112 #iphoneX #overit,"@121039 Thanks for reaching out. You can still leave a group text if you're using iMessage. If any users are not using iMessage, you can then mute the notifications. This article explains in more detail: https://t.co/zdkcAVkpSV
We're here if you have any questions.","Thanks for reaching out. You can still leave a group text if you're using iMessage. If any users are not using iMessage, you can then mute the notifications. This article explains in more detail: We're here if you have any questions.",6,True
conv_25251,25251,121459,general_inquiry_other,@AppleSupport ever since I downloaded Animal Crossing I keep getting these notifications even though it’s fully downloaded and I’ve been playing it :( please help https://t.co/wthMnb9nou,ever since I downloaded Animal Crossing I keep getting these notifications even though it’s fully downloaded and I’ve been playing it :( please help,"@121459 We can see how that would get in your way. Have you restarted your iPhone as a troubleshooting step? If you already have done so, let's delete Animal Crossing and see if this still occurs. If the error message ceases, we'll reinstall and go from there.","We can see how that would get in your way. Have you restarted your iPhone as a troubleshooting step? If you already have done so, let's delete Animal Crossing and see if this still occurs. If the error message ceases, we'll reinstall and go from there.",6,False
conv_25267,25267,121463,general_inquiry_other,@AppleSupport why does it keep changing to I.T?,why does it keep changing to I.T?,"@121463 You're in the right place for help! To guide us through troubleshooting steps, may we have the device and iOS version you're having this issue with?","You're in the right place for help! To guide us through troubleshooting steps, may we have the device and iOS version you're having this issue with?",4,False
